Observation,TextUrn,Image,Comments
urn:cite:op:hmt18.1,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ὡ,"urn:cite:hmt:vaimg.VA239RN-0410@0.11,0.1713,0.11,0.0849",
urn:cite:op:hmt18.2,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@σ,"urn:cite:hmt:vaimg.VA239RN-0410@0.227,0.2089,0.015,0.015",
urn:cite:op:hmt18.3,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ο,"urn:cite:hmt:vaimg.VA239RN-0410@0.241,0.2111,0.009,0.0083",
urn:cite:op:hmt18.4,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ἱ,"urn:cite:hmt:vaimg.VA239RN-0410@0.248,0.2044,0.008,0.015",
urn:cite:op:hmt18.5,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@μ,"urn:cite:hmt:vaimg.VA239RN-0410@0.256,0.2074,0.017,0.0173",
urn:cite:op:hmt18.6,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ε,"urn:cite:hmt:vaimg.VA239RN-0410@0.272,0.2089,0.01,0.0113",
urn:cite:op:hmt18.7,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ν,"urn:cite:hmt:vaimg.VA239RN-0410@0.285,0.2089,0.01,0.0158",
urn:cite:op:hmt18.8,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@μ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.298,0.2119,0.015,0.0113",
urn:cite:op:hmt18.9,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ά,"urn:cite:hmt:vaimg.VA239RN-0410@0.312,0.2074,0.013,0.0165",
urn:cite:op:hmt18.10,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ρ,"urn:cite:hmt:vaimg.VA239RN-0410@0.324,0.2119,0.01,0.015",
urn:cite:op:hmt18.11,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ν[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.336,0.2111,0.014,0.0158",
urn:cite:op:hmt18.12,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@α[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.348,0.2111,0.013,0.0165",
urn:cite:op:hmt18.13,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ν[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.362,0.2126,0.009,0.0113",
urn:cite:op:hmt18.14,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@τ,"urn:cite:hmt:vaimg.VA239RN-0410@0.37,0.2119,0.009,0.0113",
urn:cite:op:hmt18.15,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ο[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.378,0.2119,0.008,0.012",
urn:cite:op:hmt18.16,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@δ,"urn:cite:hmt:vaimg.VA239RN-0410@0.386,0.2074,0.016,0.0188",
urn:cite:op:hmt18.17,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@έ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.404,0.2059,0.008,0.0165",
urn:cite:op:hmt18.18,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@μ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.413,0.2089,0.012,0.0143",
urn:cite:op:hmt18.19,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@α[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.425,0.2134,0.014,0.009",
urn:cite:op:hmt18.20,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@σ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.437,0.2156,0.014,0.0075",
urn:cite:op:hmt18.21,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@π,"urn:cite:hmt:vaimg.VA239RN-0410@0.454,0.2149,0.014,0.009",
urn:cite:op:hmt18.22,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@υ,"urn:cite:hmt:vaimg.VA239RN-0410@0.468,0.2134,0.009,0.0113",
urn:cite:op:hmt18.23,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ρ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.477,0.2134,0.008,0.0158",
urn:cite:op:hmt18.24,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ὸ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.485,0.2036,0.009,0.0225",
urn:cite:op:hmt18.25,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@σ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.495,0.2149,0.011,0.009",
urn:cite:op:hmt18.26,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@α[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.509,0.2156,0.01,0.0098",
urn:cite:op:hmt18.27,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ἰ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.518,0.2089,0.01,0.018",
urn:cite:op:hmt18.28,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@θ,"urn:cite:hmt:vaimg.VA239RN-0410@0.532,0.2111,0.012,0.018",
urn:cite:op:hmt18.29,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ο[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.543,0.2171,0.006,0.0083",
urn:cite:op:hmt18.30,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@μ[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.551,0.2164,0.013,0.0113",
urn:cite:op:hmt18.31,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@έ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.565,0.2104,0.009,0.0158",
urn:cite:op:hmt18.32,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ν[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.576,0.2164,0.01,0.0113",
urn:cite:op:hmt18.33,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ο[5],"urn:cite:hmt:vaimg.VA239RN-0410@0.587,0.2164,0.007,0.0098",
urn:cite:op:hmt18.34,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ι[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.594,0.2164,0.006,0.0105",
urn:cite:op:hmt18.35,urn:cts:greekLit:tlg0012.tlg001.msA:18.1@ο[6],"urn:cite:hmt:vaimg.VA239RN-0410@0.6,0.2164,0.008,0.0098",
urn:cite:op:hmt18.36,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ὡ,"urn:cite:hmt:vaimg.VA239RN-0410@0.22,0.1007,0.015,0.0165", 
urn:cite:op:hmt18.37,urn:cts:greekLit:tlg5026.msA.hmt:18.1@σ,"urn:cite:hmt:vaimg.VA239RN-0410@0.234,0.1029,0.011,0.015",
urn:cite:op:hmt18.38,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ο,"urn:cite:hmt:vaimg.VA239RN-0410@0.243,0.1029,0.006,0.015",
urn:cite:op:hmt18.39,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ι,"urn:cite:hmt:vaimg.VA239RN-0410@0.248,0.1029,0.006,0.015",
urn:cite:op:hmt18.40,urn:cts:greekLit:tlg5026.msA.hmt:18.1@μ,"urn:cite:hmt:vaimg.VA239RN-0410@0.252,0.1029,0.012,0.015",
urn:cite:op:hmt18.41,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ὲ,"urn:cite:hmt:vaimg.VA239RN-0410@0.263,0.1029,0.008,0.015",
urn:cite:op:hmt18.42,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ν,"urn:cite:hmt:vaimg.VA239RN-0410@0.269,0.1037,0.01,0.015",
urn:cite:op:hmt18.43,urn:cts:greekLit:tlg5026.msA.hmt:18.1@μ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.278,0.1037,0.014,0.015",
urn:cite:op:hmt18.44,urn:cts:greekLit:tlg5026.msA.hmt:18.1@α,"urn:cite:hmt:vaimg.VA239RN-0410@0.289,0.1037,0.008,0.015",
urn:cite:op:hmt18.45,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ρ,"urn:cite:hmt:vaimg.VA239RN-0410@0.294,0.1067,0.008,0.012",
urn:cite:op:hmt18.46,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ν[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.302,0.1067,0.011,0.012",
urn:cite:op:hmt18.47,urn:cts:greekLit:tlg5026.msA.hmt:18.1@α[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.312,0.1067,0.01,0.012",
urn:cite:op:hmt18.48,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ν[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.32,0.1067,0.01,0.012",
urn:cite:op:hmt18.49,urn:cts:greekLit:tlg5026.msA.hmt:18.1@τ,"urn:cite:hmt:vaimg.VA239RN-0410@0.33,0.1067,0.009,0.012",
urn:cite:op:hmt18.50,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ο[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.336,0.1097,0.005,0.009",
urn:cite:op:hmt18.51,urn:cts:greekLit:tlg5026.msA.hmt:18.1@δ,"urn:cite:hmt:vaimg.VA239RN-0410@0.34,0.1082,0.013,0.0105",
urn:cite:op:hmt18.52,urn:cts:greekLit:tlg5026.msA.hmt:18.1@έ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.35,0.1052,0.011,0.012",
urn:cite:op:hmt18.53,urn:cts:greekLit:tlg5026.msA.hmt:18.1@μ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.358,0.1104,0.013,0.0068",
urn:cite:op:hmt18.54,urn:cts:greekLit:tlg5026.msA.hmt:18.1@α[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.37,0.1097,0.008,0.009",
urn:cite:op:hmt18.55,urn:cts:greekLit:tlg5026.msA.hmt:18.1@σ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.377,0.1097,0.008,0.009",
urn:cite:op:hmt18.56,urn:cts:greekLit:tlg5026.msA.hmt:18.1@π,"urn:cite:hmt:vaimg.VA239RN-0410@0.383,0.1097,0.009,0.009",
urn:cite:op:hmt18.57,urn:cts:greekLit:tlg5026.msA.hmt:18.1@υ,"urn:cite:hmt:vaimg.VA239RN-0410@0.391,0.1097,0.007,0.009",
urn:cite:op:hmt18.58,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ρ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.398,0.1097,0.008,0.012",
urn:cite:op:hmt18.59,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ὸ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.405,0.1052,0.008,0.0165",
urn:cite:op:hmt18.60,urn:cts:greekLit:tlg5026.msA.hmt:18.1@σ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.411,0.1052,0.008,0.0165",
urn:cite:op:hmt18.61,urn:cts:greekLit:tlg5026.msA.hmt:18.1@α[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.419,0.1052,0.014,0.0165",
urn:cite:op:hmt18.62,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ἰ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.431,0.1052,0.009,0.0165",
urn:cite:op:hmt18.63,urn:cts:greekLit:tlg5026.msA.hmt:18.1@θ,"urn:cite:hmt:vaimg.VA239RN-0410@0.44,0.1052,0.01,0.0165",
urn:cite:op:hmt18.64,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ο[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.449,0.1097,0.007,0.0105",
urn:cite:op:hmt18.65,urn:cts:greekLit:tlg5026.msA.hmt:18.1@μ[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.455,0.1097,0.01,0.0105",
urn:cite:op:hmt18.66,urn:cts:greekLit:tlg5026.msA.hmt:18.1@έ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.464,0.1052,0.008,0.015",
urn:cite:op:hmt18.67,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ν[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.47,0.1112,0.009,0.009",
urn:cite:op:hmt18.68,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ο[5],"urn:cite:hmt:vaimg.VA239RN-0410@0.478,0.1112,0.006,0.009",
urn:cite:op:hmt18.69,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ι[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.483,0.1112,0.005,0.0098",
urn:cite:op:hmt18.70,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ο[6],"urn:cite:hmt:vaimg.VA239RN-0410@0.487,0.1112,0.006,0.0098",
urn:cite:op:hmt18.71,urn:cts:greekLit:tlg5026.msA.hmt:18.1@π[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.501,0.1112,0.011,0.0098",
urn:cite:op:hmt18.72,urn:cts:greekLit:tlg5026.msA.hmt:18.1@υ[2],"urn:cite:hmt:vaimg.VA239RN-0410@0.512,0.1112,0.007,0.0098",
urn:cite:op:hmt18.73,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ρ[3],"urn:cite:hmt:vaimg.VA239RN-0410@0.517,0.1112,0.008,0.012",
urn:cite:op:hmt18.74,urn:cts:greekLit:tlg5026.msA.hmt:18.1@ὸ[7],"urn:cite:hmt:vaimg.VA239RN-0410@0.524,0.1112,0.007,0.009",
urn:cite:op:hmt18.75,urn:cts:greekLit:tlg5026.msA.hmt:18.1@σ[4],"urn:cite:hmt:vaimg.VA239RN-0410@0.53,0.1112,0.006,0.009",
urn:cite:op:hmt18.76,urn:cts:greekLit:tlg0012.tlg001.msA:18.26@α,"urn:cite:hmt:vaimg.VA239VN-0741@0.484,0.2254,0.023,0.027",
urn:cite:op:hmt18.77,urn:cts:greekLit:tlg0012.tlg001.msA:18.26@υ,"urn:cite:hmt:vaimg.VA239VN-0741@0.505,0.2314,0.012,0.012",
urn:cite:op:hmt18.78,urn:cts:greekLit:tlg0012.tlg001.msA:18.26@τ,"urn:cite:hmt:vaimg.VA239VN-0741@0.513,0.2322,0.013,0.0113",
urn:cite:op:hmt18.79,urn:cts:greekLit:tlg0012.tlg001.msA:18.26@ὸ,"urn:cite:hmt:vaimg.VA239VN-0741@0.522,0.2246,0.01,0.0203",
