AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.18_210,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"ετά Τημενίδος χρύσεον γένος",urn:cite:hmt:reusetype.quote2,
urn:cite:hmt:reuse.18_212,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"ἄατον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_213,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"ἄητον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_214,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"ἄρρητον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_215,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"ἄκλητον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_216,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"ἄκμητον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_217,urn:cts:greekLit:tlg5026.msA.hmt:18.142,"ἄητον",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.410
urn:cite:hmt:reuse.18_218,urn:cts:greekLit:tlg5026.msA.hmt:18.143,"κιβωτος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_219,urn:cts:greekLit:tlg5026.msA.hmt:18.143,"ἐπονεῖτο",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.413
urn:cite:hmt:reuse.18_221,urn:cts:greekLit:tlg5026.msA.hmt:18.145,"ἔρρων",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.421
urn:cite:hmt:reuse.18_222,urn:cts:greekLit:tlg5026.msA.hmt:18.146,"ἡμέτερον δέ",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.424
urn:cite:hmt:reuse.18_223,urn:cts:greekLit:tlg5026.msA.hmt:18.146,"Θέτις τανύπεπλος ϊκάνεις",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.424
urn:cite:hmt:reuse.18_224,urn:cts:greekLit:tlg5026.msA.hmt:18.149,"νῦν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.435
urn:cite:hmt:reuse.18_225,urn:cts:greekLit:tlg5026.msA.hmt:18.149,"υἱὸν ἐπεί μοι δῶκεν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.436
urn:cite:hmt:reuse.18_227,urn:cts:greekLit:tlg5026.msA.hmt:18.153,"ἐμ ωκυμόρῳ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.458
urn:cite:hmt:reuse.18_228,urn:cts:greekLit:tlg5026.msA.hmt:18.154,"ὁ γὰρ ἦν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.460
urn:cite:hmt:reuse.18_230,urn:cts:greekLit:tlg5026.msA.hmt:18.154,"γὰρ",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.460
urn:cite:hmt:reuse.18_234,urn:cts:greekLit:tlg5026.msA.hmt:18.155,"Τρωσὶν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.461
urn:cite:hmt:reuse.18_236,urn:cts:greekLit:tlg5026.msA.hmt:18.156,"ϊκάνοι",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.465
urn:cite:hmt:reuse.18_237,urn:cts:greekLit:tlg5026.msA.hmt:18.156,"ὃς",,
urn:cite:hmt:reuse.18_238,urn:cts:greekLit:tlg5026.msA.hmt:18.158,"εὔπρηστον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.471
urn:cite:hmt:reuse.18_239,urn:cts:greekLit:tlg5026.msA.hmt:18.169,"τὴν ἅμαξαν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_240,urn:cts:greekLit:tlg5026.msA.hmt:18.177,"είδω",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_241,urn:cts:greekLit:tlg5026.msA.hmt:18.177,"εἴσω",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_242,urn:cts:greekLit:tlg5026.msA.hmt:18.177,"ἵστωρ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_243,urn:cts:greekLit:tlg5026.msA.hmt:18.177,"ἱστῷ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_244,urn:cts:greekLit:tlg5026.msA.hmt:18.177,"ἵστημι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_245,urn:cts:greekLit:tlg5026.msA.hmt:18.177,"Ἴ̈στρος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_246,urn:cts:greekLit:tlg5026.msA.hmt:18.180,"αμοιβηδις",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.506
urn:cite:hmt:reuse.18_247,urn:cts:greekLit:tlg5026.msA.hmt:18.186,"εφεσταότες",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.515
urn:cite:hmt:reuse.18_248,urn:cts:greekLit:tlg5026.msA.hmt:18.186,"ἀνέρες",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.515
urn:cite:hmt:reuse.18_249,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"οὐδεν όλιζον ἑξομαι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_250,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"μέλας",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_251,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"μέλαν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_252,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"τάλας",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_253,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"τάλαν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_254,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"πᾶς",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_255,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"πᾶν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_256,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ευμήκης",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_257,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ευμῆκες",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_258,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ταχύς",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_259,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ταχυ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_260,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"φίλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_261,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"φίλον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_262,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"σώφρων",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_263,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"σώφρον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_264,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"οὐδὲν ολιζον ἕξομεν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_265,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"σῶφρον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_266,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ολιγώτερος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_267,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ὀλιγίων",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_268,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ὀλίγιστος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_269,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ὀλίσσων",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_270,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"ὀλίζον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_271,urn:cts:greekLit:tlg5026.msA.hmt:18.188,"μεῖζον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_272,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"ἀρδμός",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.521
urn:cite:hmt:reuse.18_273,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"ἄρδω",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_275,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"άσσω",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_276,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"κατάσσω",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_277,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"άξω",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_278,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"ἀρῶ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_279,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"ἀρῶμαι",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_280,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"Ἀρήν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_281,urn:cts:greekLit:tlg5026.msA.hmt:18.189,"πισσοκονίας ἀρὴν",urn:cite:hmt:reusetype.quote2,
urn:cite:hmt:reuse.18_282,urn:cts:greekLit:tlg5026.msA.hmt:18.192,"κενὸς",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_283,urn:cts:greekLit:tlg5026.msA.hmt:18.192,"κενεός",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_284,urn:cts:greekLit:tlg5026.msA.hmt:18.192,"ἀδελφὸς",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_285,urn:cts:greekLit:tlg5026.msA.hmt:18.192,"ἀδελφεός",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_286,urn:cts:greekLit:tlg5026.msA.hmt:18.193,"νεκροὺς",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.540
urn:cite:hmt:reuse.18_287,urn:cts:greekLit:tlg5026.msA.hmt:18.195,"μέτρον",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_288,urn:cts:greekLit:tlg5026.msA.hmt:18.197,"τεμέρος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.550
urn:cite:hmt:reuse.18_289,urn:cts:greekLit:tlg5026.msA.hmt:18.200,"δεῖπνον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.560
urn:cite:hmt:reuse.18_290,urn:cts:greekLit:tlg5026.msA.hmt:18.201,"τρυφερὰ",urn:cite:hmt:reusetype.multiform2,urn:cts:greekLit:tlg0012.tlg001.msA:18.567
urn:cite:hmt:reuse.18_291,urn:cts:greekLit:tlg5026.msA.hmt:18.201,"νήπια",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_292,urn:cts:greekLit:tlg5026.msA.hmt:18.201,"πρᾶα",urn:cite:hmt:reusetype.multiform2,urn:cts:greekLit:tlg0012.tlg001.msA:18.567
urn:cite:hmt:reuse.18_293,urn:cts:greekLit:tlg5026.msA.hmt:18.202,"λινὸς δ' ὑπο καλὸν ἄειδε",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.570
urn:cite:hmt:reuse.18_294,urn:cts:greekLit:tlg5026.msA.hmt:18.203,"λίνον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.570
urn:cite:hmt:reuse.18_295,urn:cts:greekLit:tlg5026.msA.hmt:18.204,"λίνον δὲ ὑπο καλὸν ἄειδε",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:18.570
urn:cite:hmt:reuse.18_297,urn:cts:greekLit:tlg5026.msA.hmt:18.205,"διὰ ῥαδαλόν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.576
urn:cite:hmt:reuse.18_298,urn:cts:greekLit:tlg5026.msA.hmt:18.205,"παρα ραδηλλόν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.576
urn:cite:hmt:reuse.18_299,urn:cts:greekLit:tlg5026.msA.hmt:18.205,"δονακῆεν",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.576
urn:cite:hmt:reuse.18_300,urn:cts:greekLit:tlg5026.msA.hmt:18.205,"πευκῶνα",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_301,urn:cts:greekLit:tlg5026.msA.hmt:18.205,"πευκᾶεν",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_302,urn:cts:greekLit:tlg5026.msA.hmt:18.206,"δύο πρώτῃσι βόεσσι",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.579
urn:cite:hmt:reuse.18_303,urn:cts:greekLit:tlg5026.msA.hmt:18.206,"κυάνεον δὲ λέοντε",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.579
urn:cite:hmt:reuse.18_304,urn:cts:greekLit:tlg5026.msA.hmt:18.209,"τοῦ τρόχουτροχοῦ",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_305,urn:cts:greekLit:tlg5026.msA.hmt:18.209,"ἄρμενον",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:18.600
urn:cite:hmt:reuse.18_307,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"κάμηλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_308,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"φάσηλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_309,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"υψηλός",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_310,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"ἀπατηλός",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_311,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"βέβηλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_312,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"κίβδηλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_313,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"κάπηλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_314,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"ερυγμηλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_315,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"ἐρύγω",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_316,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"ἐρυγηλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_317,urn:cts:greekLit:tlg5026.msA.hmt:18.210,"ἐρυγμηλος",urn:cite:hmt:reusetype.langusage,
urn:cite:hmt:reuse.18_318,urn:cts:greekLit:tlg5026.msA.hmt:18.211,"τοὺς δὲ κύνες μετεκίαθον",,
urn:cite:hmt:reuse.18_319,urn:cts:greekLit:tlg5026.msA.hmt:18.211,"ἕλκετο",,
urn:cite:hmt:reuse.18_320,urn:cts:greekLit:tlg5026.msA.hmt:18.212,"λαφύσσετον",,
urn:cite:hmt:reuse.18_321,urn:cts:greekLit:tlg5026.msA.hmt:18.213,"ουτοὕτως",,
urn:cite:hmt:reuse.18_322,urn:cts:greekLit:tlg5026.msA.hmt:18.213,"αύτως",,
urn:cite:hmt:reuse.18_323,urn:cts:greekLit:tlg5026.msA.hmt:18.213,"ἐνδίεσαν",,
urn:cite:hmt:reuse.18_324,urn:cts:greekLit:tlg5026.msA.hmt:18.213,"ἐνδίησαν",,
urn:cite:hmt:reuse.18_325,urn:cts:greekLit:tlg5026.msA.hmt:18.215,"τῷ ΐκελον. οἷον ποτὲ ἐνι Κνωσῷ",,
urn:cite:hmt:reuse.18_326,urn:cts:greekLit:tlg5026.msA.hmt:18.216,"ἄλφειν",,
urn:cite:hmt:reuse.18_327,urn:cts:greekLit:tlg5026.msA.hmt:18.216,"ἄλφη",,
