ref,sign,multiform,alexandrian
urn:cts:greekLit:tlg0012.tlg001.msA:18.309,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.310,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.311,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.312,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.313,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.314,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.315,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.316,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.317,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.318,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.319,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.320,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.321,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.322,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.323,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.324,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.325,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.326,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.327,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.328,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.329,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.330,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.331,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.332,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.333,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.334,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.335,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.336,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.337,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.338,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.339,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.340,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.341,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.342,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.343,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.344,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.345,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.346,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.347,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.348,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.349,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.350,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.351,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.352,>,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.353,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.354,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.355,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.356,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.357,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.358,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.359,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.360,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.361,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.362,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.363,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.364,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.365,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.366,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.367,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.368,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.369,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.370,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.371,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.372,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.373,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.374,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.375,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.376,>,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.377,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.378,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.379,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.380,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.381,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.382,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.383,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.384,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.385,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.386,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.387,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.388,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.389,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.390,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.391,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.392,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.393,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.394,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.395,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.396,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.397,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.398,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.399,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.400,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.401,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.402,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.403,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.404,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.405,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.406,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.407,none,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.408,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.409,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.410,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.411,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.412,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.413,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.414,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.415,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.416,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.417,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.418,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.419,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.420,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.421,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.422,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.423,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.424,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.425,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.426,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.427,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.428,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.429,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.430,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.431,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.432,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.433,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.434,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.435,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.436,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.437,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.438,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.439,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.440,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.441,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.442,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.443,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.444,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.445,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.446,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.447,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.448,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.449,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.450,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.451,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.452,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.453,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.454,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.455,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.456,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.457,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.458,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.459,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.460,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.461,>,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.462,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.463,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.464,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.465,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.466,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.467,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.468,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.469,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.470,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.471,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.472,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.473,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.474,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.475,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.476,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.477,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.478,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.479,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.480,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.481,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.482,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.483,none,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.484,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.485,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.486,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.487,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.488,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.489,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.490,none,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.491,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.492,>,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.493,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.494,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.495,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.496,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.497,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.498,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.499,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.500,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.501,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.502,>,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.503,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.504,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.505,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.506,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.507,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.508,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.509,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.510,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.511,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.512,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.513,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.514,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.515,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.516,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.517,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.518,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.519,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.520,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.521,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.522,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.523,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.524,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.525,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.526,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.527,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.528,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.529,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.530,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.531,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.532,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.533,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.534,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.535,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.536,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.537,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.538,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.539,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.540,>,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.541,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.542,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.543,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.544,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.545,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.546,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.547,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.548,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.549,none,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.550,>,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.551,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.552,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.553,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.554,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.555,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.556,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.557,none,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.558,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.559,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.560,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.561,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.562,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.563,none,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.564,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.565,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.566,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.567,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.568,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.569,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.570,>,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.571,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.572,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.573,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.574,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.575,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.576,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.577,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.578,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.579,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.580,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.581,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.582,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.583,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.584,⸖,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.585,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.586,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.587,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.588,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.589,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.590,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.591,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.592,none,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.593,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.594,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.595,>,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.596,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.597,—,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.598,—,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.599,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.600,none,t,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.601,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.602,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.603,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.604_605,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.606,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.607,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.608,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.609,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.610,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.611,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.612,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.613,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.614,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.615,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.616,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.617,none,t,f
